controller,n,seed,placed,completed,mwt,mean_time_loss,mean_in_system,departed,action_hold,action_expert,action_override
actuated,50,5,50,50,11.18,28.4604,3.3039134054954205,50,0,0,0
actuated,50,6,50,50,8.16,25.096799999999998,3.1948376353039136,50,0,0,0
actuated,50,7,50,50,5.34,22.4444,3.379683597002498,50,0,0,0
actuated,50,8,50,50,5.98,21.953200000000002,3.2656119900083262,50,0,0,0
actuated,50,9,50,50,11.94,29.897,3.3721898417985012,50,0,0,0
actuated,100,0,100,100,13.39,31.945,7.341382181515404,100,0,0,0
actuated,100,1,100,100,16.46,36.2755,8.240632805995004,100,0,0,0
actuated,100,2,100,100,10.79,28.4777,7.073272273105745,100,0,0,0
actuated,100,3,100,100,10.62,28.395,7.221482098251457,100,0,0,0
actuated,100,4,100,100,8.47,26.2327,7.174854288093256,100,0,0,0
actuated,100,5,100,100,7.59,25.6873,6.945045795170691,100,0,0,0
actuated,100,6,100,100,8.16,25.7883,6.7851790174854285,100,0,0,0
actuated,100,7,100,100,15.27,34.4427,7.746877601998334,100,0,0,0
actuated,100,8,100,100,8.11,24.9047,6.56203164029975,100,0,0,0
actuated,100,9,100,100,11.95,30.0834,6.743547044129892,100,0,0,0
actuated,200,0,200,200,17.215,37.228899999999996,15.43796835970025,200,0,0,0
actuated,200,1,200,200,25.2,47.4629,17.184013322231475,200,0,0,0
actuated,200,2,200,200,29.555,51.7929,18.20233139050791,200,0,0,0
actuated,200,3,200,200,20.805,41.656549999999996,16.326394671107412,200,0,0,0
actuated,200,4,200,200,22.975,43.1562,16.8451290591174,200,0,0,0
actuated,200,5,200,200,15.62,34.6381,15.18068276436303,200,0,0,0
actuated,200,6,200,200,19.91,40.48095,15.982514571190675,200,0,0,0
actuated,200,7,200,200,23.535,45.08185,16.913405495420484,200,0,0,0
actuated,200,8,200,200,17.295,37.688,15.686927560366362,200,0,0,0
actuated,200,9,200,200,22.805,43.804449999999996,15.574521232306411,200,0,0,0
actuated,300,0,300,300,31.243333333333332,55.27783333333333,28.096586178184847,300,0,0,0
actuated,300,1,300,300,55.846666666666664,85.32056666666668,35.32639467110741,300,0,0,0
actuated,300,2,300,300,25.663333333333334,48.67616666666667,26.4496253122398,300,0,0,0
actuated,300,3,300,300,36.913333333333334,62.580666666666666,29.229808492922565,300,0,0,0
actuated,300,4,300,300,28.666666666666668,51.6973,26.92922564529559,300,0,0,0
